Type	Name	Tree	Land	Level	Is_Using
Crop	Apple	Tree	잔디	1	 F
Crop	Apricot	Tree	잔디	4	 F
Crop	Asparagus	Ground	밭	5	 F
Crop	Banana	SM_Prop_Plant_Corn_01	밭	2	 F
Crop	Bean	SM_Prop_Plant_Bush_01	밭	3	 F
Crop	Beetroot	Ground	밭	3	 F
Crop	Broccoli	Ground	밭	3	 F
Crop	Cabbage	Ground	밭	1	 F
Crop	Carrot	Ground	밭	1	 F
Crop	Cherry	Tree	잔디	3	 F
Crop	Chilli	SM_Prop_Plant_Bush_03	밭	4	 F
Crop	Corn	Ground	밭	3	 F
Crop	Cucumber	SM_Prop_Plant_Bush_01	밭	2	 F
Crop	Eggplant	SM_Prop_Plant_Bush_02	밭	2	 F
Crop	Lemon	Tree	잔디	3	 F
Crop	Lettuce	Ground	밭	2	 F
Crop	Onion	Ground	밭	1	 F
Crop	Orange	Tree	잔디	2	 F
Crop	Peach	Tree	잔디	3	 F
Crop	Pear	Tree	잔디	3	 F
Crop	Pepper	SM_Prop_Plant_Bush_01	밭	5	 F
Crop	Plum	Tree	잔디	4	 F
Crop	Potato	Ground	밭	1	 F
Crop	Pumpkin	Ground	밭	3	 F
Crop	Pumpkin_Italian	Ground	밭	5	 F
Crop	Squash_Butternut	Ground	밭	5	 F
Crop	Squash_Delicata	Ground	밭	4	 F
Crop	Strawberry	SM_Prop_Plant_Bush_03	잔디	2	 F
Crop	Sunflower	solo	잔디	3	 F
Crop	Tomato	SM_Prop_Plant_Bush_02	잔디	2	 F
Crop	Watermelon	Ground	밭	4	 F
Crop	Wheat	Ground	밭	1	 F
